"arm","all_median","all_lower","all_upper","extreme_median","extreme_lower","extreme_upper"
"Free-margin fit",0.218858330902189,0.0448686712733366,0.926575829776578,0.292583514614058,0.0323026849666313,1.44858775469741
"Lognormal fit",0.689197758726074,0.29952891442552,1.10502811010148,1.07815152689418,0.430375330277,1.70957919172188
