"replicate","arm","all_quantile_log_rmse","extreme_quantile_log_rmse"
102,"Lognormal fit",0.492304185225674,0.770447820803469
103,"Lognormal fit",0.883142760829045,1.3802171482333
104,"Lognormal fit",0.648125347222386,1.01521818589679
105,"Lognormal fit",0.667385860083773,1.0406969431534
106,"Lognormal fit",0.683542438251342,1.0743143625954
107,"Lognormal fit",0.632614320637526,0.991861414411604
108,"Lognormal fit",0.660657360135989,1.03288757733042
109,"Lognormal fit",0.518116208368773,0.807536018399274
110,"Lognormal fit",0.929038961260531,1.43819456699797
111,"Lognormal fit",0.239323389250048,0.188338008559324
112,"Lognormal fit",0.813390932406612,1.26312637563368
113,"Lognormal fit",0.928774402796201,1.45250800264908
114,"Lognormal fit",0.654847399456725,1.02656683887217
115,"Lognormal fit",1.01871858276321,1.57848810342587
116,"Lognormal fit",0.39386571115908,0.609994018214306
117,"Lognormal fit",0.602204154795483,0.94077190414935
118,"Lognormal fit",0.652413116035844,1.023909847446
119,"Lognormal fit",1.19738889348711,1.83488409840428
120,"Lognormal fit",0.648436424851327,1.01179355819065
121,"Lognormal fit",0.61421057916599,0.952802090941889
122,"Lognormal fit",0.916209259323318,1.42941375939099
123,"Lognormal fit",0.941073695315295,1.46373283137742
124,"Lognormal fit",1.0541289096574,1.62907864544929
125,"Lognormal fit",0.678759739224864,1.06520768728108
126,"Lognormal fit",0.852234600282944,1.3311664939081
127,"Lognormal fit",0.438969567367147,0.64961585735267
128,"Lognormal fit",0.755981204860258,1.1856953819337
129,"Lognormal fit",0.532594756264478,0.816804631379449
130,"Lognormal fit",0.771384700106141,1.20429206803677
131,"Lognormal fit",0.614934034376079,0.948556859154494
132,"Lognormal fit",0.873012725159044,1.36348008396365
133,"Lognormal fit",0.866531253885176,1.36177683211252
134,"Lognormal fit",0.434533082408066,0.68068577144705
135,"Lognormal fit",0.689874424681146,1.08152439316647
136,"Lognormal fit",0.719305897133215,1.12859058754661
137,"Lognormal fit",0.518744993819635,0.804110116413354
138,"Lognormal fit",0.812893666602791,1.27651266275765
139,"Lognormal fit",0.422893650164508,0.657742648776231
140,"Lognormal fit",0.384597385916447,0.593940576421358
141,"Lognormal fit",0.413491584974534,0.641368407273561
142,"Lognormal fit",0.862855607793042,1.34462913176666
143,"Lognormal fit",0.59524550598441,0.8726490999163
144,"Lognormal fit",1.08575010802289,1.69381281271587
145,"Lognormal fit",0.853106867872138,1.33409475575703
