"replicate","arm_gaussian","family_gaussian","shape_gaussian","sd_gaussian","tail_probability_gaussian","V_gaussian","CL_gaussian","residual_gaussian","log_likelihood_gaussian","likelihood_mcse_gaussian","runtime_seconds_gaussian","selection_seconds_gaussian","selected_families_gaussian","retained_standard_gaussian","arm_flexible","family_flexible","shape_flexible","sd_flexible","tail_probability_flexible","V_flexible","CL_flexible","residual_flexible","log_likelihood_flexible","likelihood_mcse_flexible","runtime_seconds_flexible","selection_seconds_flexible","selected_families_flexible","retained_standard_flexible","likelihood_gain","likelihood_difference_mcse","runtime_ratio"
144,"Lognormal fit","lognormal",NA,3.36917754830851,0.1108,19.6613690234106,3.43408748755719,0.123988593696558,-44.9150586224551,0.547782579528188,34.9400000000001,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.23494071863981,3.06981866140129,0.13105,19.600223859061,3.59917439147213,0.123936150770946,-40.6197296386421,0.586486424639696,83.73,79.52,"lognormal/gamma",FALSE,4.29532898381301,0.802516093745919,2.39639381797367
145,"Lognormal fit","lognormal",NA,3.45139021027733,0.11854,19.9876256123423,3.58784816516426,0.123198218596465,-48.4494413888471,0.511928306276676,38.6700000000001,0,"lognormal/lognormal",FALSE,"Free-margin fit","lognormal",NA,3.45949182546253,0.11924,19.9876256123423,3.58784816516426,0.123198218596465,-48.4494413888471,0.511928306276676,0,327.68,"lognormal/lognormal",TRUE,0,0.723975953699162,0
146,"Lognormal fit","lognormal",NA,3.46916583237061,0.12098,19.8807181886303,3.63297879001796,0.119142790601932,29.3560000707568,0.528906613904388,30.77,0,"lognormal/lognormal",FALSE,"Free-margin fit","lognormal",NA,3.46395360202151,0.12057,19.8807181886303,3.63297879001796,0.119142790601932,29.3560000707568,0.528906613904388,0,326.4,"lognormal/lognormal",TRUE,0,0.747986906612415,0
147,"Lognormal fit","lognormal",NA,3.4728151944907,0.11531,20.4533325332158,3.50954010411535,0.120015719484803,-67.8394115310969,0.499746952393647,37,0,"lognormal/lognormal",FALSE,"Free-margin fit","lognormal",NA,3.44361553939872,0.11448,20.4533325332158,3.50954010411535,0.120015719484803,-67.8394115310969,0.499746952393647,0,309.45,"lognormal/lognormal",TRUE,0,0.706748917829717,0
148,"Lognormal fit","lognormal",NA,3.21419070048915,0.09911,19.4160907260561,3.3427887413993,0.117430662093823,-85.3656455100823,0.522021931325805,37.6899999999996,0,"lognormal/lognormal",FALSE,"Free-margin fit","lognormal",NA,3.26373284716404,0.10112,19.4160907260561,3.3427887413993,0.117430662093823,-85.3656455100823,0.522021931325805,0,347.89,"lognormal/lognormal",TRUE,0,0.73825049513715,0
149,"Lognormal fit","lognormal",NA,3.15720494205562,0.09966,19.8927886388753,3.40792977577535,0.121249395972228,-161.666797966154,0.480885485645116,32.1399999999994,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.83146862498484,2.41337454935627,0.0708,20.1882558152469,3.37431647692608,0.121328893380924,-154.705101399312,0.571931668262464,57.0299999999997,75.8400000000001,"lognormal/gamma",FALSE,6.96169656684174,0.747232683617107,1.77442439327943
150,"Lognormal fit","lognormal",NA,3.59681155345337,0.12899,19.7802544708526,3.70027644655275,0.120677935816075,67.3864472350557,0.575487964408663,26.9200000000001,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.30121912025461,3.13869706823407,0.14053,19.9462257570932,3.75971856901679,0.120527918744273,67.8914541762155,0.620547280831027,60.5299999999997,72.5200000000004,"lognormal/gamma",FALSE,0.505006941159806,0.846324597850026,2.24851411589894
151,"Lognormal fit","lognormal",NA,3.57747693385871,0.13249,20.510057704908,3.7770735388017,0.118748665883018,111.570584485067,0.542127614297536,35.8600000000001,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.74229551393669,2.68342509744695,0.10174,20.7040990933415,3.64557107575383,0.118649906812886,116.451052635857,0.564752054935075,86.4000000000001,103.34,"lognormal/gamma",FALSE,4.88046815079045,0.782845600190311,2.40936977133296
152,"Lognormal fit","lognormal",NA,3.24080021649062,0.10271,19.8334969133748,3.45341456489223,0.116153148089226,-63.8103382398252,0.503027585210583,41.1300000000001,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.69538726639115,2.52775104968699,0.08093,20.0158151517801,3.39636222220657,0.11602610253222,-58.9161051789109,0.546308563231644,80.9500000000003,92.5899999999997,"lognormal/gamma",FALSE,4.89423306091423,0.742623590887748,1.96814976902504
153,"Lognormal fit","lognormal",NA,2.7556285360898,0.08703,20.1157841739961,3.57062876894401,0.122661591661833,-105.998405999898,0.485795076649697,37.98,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",3.15139645649304,2.4186204928091,0.07907,20.0180250297627,3.62738819731313,0.122558306474112,-100.772582324872,0.516580022535286,78.7999999999997,78.4500000000003,"lognormal/gamma",FALSE,5.22582367502544,0.709120424314264,2.07477619799894
154,"Lognormal fit","lognormal",NA,3.20439941052254,0.11988,20.2606415449023,3.84444309798985,0.121958779435372,50.1358252184792,0.522598866674014,39.52,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",3.03361550050157,2.64192714540227,0.10828,20.2695153473266,3.87092936150482,0.121858669233827,58.6427802401144,0.578470117848519,83.5,89.1599999999999,"lognormal/gamma",FALSE,8.50695502163519,0.779575046222391,2.11285425101215
