"generating_family","candidate","mean_loglik_error","rmse_loglik_error","mean_reported_mcse","median_ess_fraction","minimum_ess_fraction"
"laplace","laplace",-0.0237405046367503,0.0705764544731747,0.0817754133020449,0.925556957712162,0.113454922370725
"normal","laplace",0.0136672995609371,0.052128435946978,0.0654893423684162,0.931774584203751,0.287160440131422
"laplace","normal",8.08915806486491e-05,0.000151750316346132,0.000182837383577923,0.999999853834701,0.999941698851231
"normal","normal",0.000222970631033566,0.000331316411050026,0.000354921691255403,0.999999123275609,0.999917329065752
