"generating_family","replicate","candidate","incumbent_sd","direct_sd","posterior_sd","direct_loglik","posterior_loglik","posterior_minus_direct","posterior_mcse","median_ess_fraction","minimum_ess_fraction"
"normal",1,"normal",0.391762505274256,0.391762248923686,0.394059785486718,-108.566435052208,-108.566120321029,0.000314731178463035,0.00177203464370675,0.999955110958176,0.999813418273691
"normal",1,"laplace",0.391762505274256,0.378678847193705,0.373496442755147,-108.960230096819,-109.015396325311,-0.0551662284920269,0.0979472409520726,0.888031997162761,0.221104020555962
"normal",2,"normal",0.571678083924077,0.571678902420579,0.569008834786658,-123.109398374745,-123.108907860514,0.000490514230577332,0.00129877912223398,0.999977784162414,0.999793040305031
"normal",2,"laplace",0.571678083924077,0.572689074830094,0.578545898945629,-122.97818095827,-122.708523002741,0.269657955529738,0.240634771232009,0.911050064962436,0.010321995822937
"normal",3,"normal",0.495707855837949,0.495707871064403,0.494565506627712,-116.827499277361,-116.827411837165,8.74401966513005e-05,0.000665825460725381,0.999994103151501,0.999955220601232
"normal",3,"laplace",0.495707855837949,0.495771658274154,0.488416804494915,-116.957377081891,-117.045678420303,-0.0883013384124638,0.0927118544985115,0.902844498077067,0.337710835550364
"normal",4,"normal",0.327576058528077,0.327577662965234,0.328469832624876,-103.855311769208,-103.855273954326,3.78148821766899e-05,0.000841912575898265,0.99998895492725,0.999925391249146
"normal",4,"laplace",0.327576058528077,0.336263493565715,0.304210891775963,-103.618266050947,-103.722391927769,-0.104125876822209,0.0999728698919357,0.877643587805179,0.298441841440501
"normal",5,"normal",0.275317734966529,0.275317548001906,0.285824310826605,-100.36524388228,-100.360953712,0.0042901702794893,0.0121268407616783,0.997550254657558,0.991582619853296
"normal",5,"laplace",0.275317734966529,0.264286305797796,0.251517667576224,-100.456403078819,-100.364792223826,0.0916108549926093,0.0995297678338116,0.867939895433677,0.466240408836243
"normal",6,"normal",0.380859977520574,0.380856066440074,0.381049260671908,-107.739389009807,-107.739386938533,2.0712735278039e-06,0.000150767894543441,0.999999666252089,0.999998042883261
"normal",6,"laplace",0.380859977520574,0.377604409485155,0.3806323074269,-107.807759268293,-107.821914189796,-0.0141549215029357,0.1448263392286,0.903087527066346,0.0432665316168607
"normal",7,"normal",0.553040757338831,0.553035281325068,0.549975438702821,-121.559616690985,-121.558974319923,0.000642371061658764,0.00155626157854866,0.999971246867403,0.999757704481044
"normal",7,"laplace",0.553040757338831,0.551703238128767,0.540569027259814,-122.347184394168,-122.308657752944,0.0385266412231715,0.085021689480797,0.900802425371868,0.380043797292924
"normal",8,"normal",0.504533852495885,0.504534197124506,0.499833501663969,-117.550962665107,-117.549453090301,0.00150957480570924,0.002671211451515,0.999898725724599,0.999010293867258
"normal",8,"laplace",0.504533852495885,0.502892466525231,0.491103482903129,-117.140143561462,-117.214342807243,-0.0741992457806901,0.133215756556036,0.897431287655991,0.0780292777769117
"normal",9,"normal",0.398812270705058,0.398811237301377,0.394825576066883,-109.106218475472,-109.105236896032,0.000981579440008318,0.00299158295043947,0.999870821274249,0.999367305319272
"normal",9,"laplace",0.398812270705058,0.390461065932598,0.372317306001959,-109.38793365725,-109.435822073819,-0.0478884165690374,0.0957966276737107,0.882007843680498,0.451733521465692
"normal",10,"normal",0.454406658066703,0.454407366692033,0.462200411014631,-113.478655725554,-113.474513281241,0.00414244431267718,0.00505903997177669,0.999664309957135,0.997561818842767
"normal",10,"laplace",0.454406658066703,0.453764955116812,0.449568460228044,-113.564752889188,-113.844500924541,-0.279748035352497,0.0995348119906502,0.902327579290144,0.175066294566279
"normal",11,"normal",0.512395674773979,0.512395898451333,0.512667446970136,-118.197232681705,-118.197227438435,5.24326979700618e-06,0.000151323813376736,0.999999656382022,0.999998579978714
"normal",11,"laplace",0.512395674773979,0.501213863918684,0.498530699881038,-119.414836984345,-119.612164308376,-0.19732732403132,0.0851052577855232,0.897032675458026,0.547837169611052
"normal",12,"normal",0.24106216217031,0.241060027508677,0.253918440472076,-98.2934326848086,-98.287742175097,0.0056905097116271,0.017189712067293,0.995005452230992,0.988135524230524
