"arm","probability","CRP","lower_100","median_100","upper_100","lower_all","median_all","upper_all","change_lower","change_median","change_upper"
"flexible",0.01,2.97109480506532,1.80606425075835,1.96249003148274,2.0709365255232,1.80602542849576,1.95052904029699,2.07967929239686,-3.88222625864465e-05,-0.011960991185757,0.00874276687366349
"flexible",0.0162201257861635,3.83822167055874,1.88175813898849,2.03095740409717,2.13718462676108,1.88169312501523,2.01887745187467,2.14325244624855,-6.50139732516486e-05,-0.0120799522225066,0.00606781948747415
"flexible",0.022440251572327,4.56890077558951,1.93745299129384,2.0805305963485,2.18526834842864,1.93724437710607,2.06886143565852,2.19013762788084,-0.00020861418776863,-0.0116691606899746,0.0048692794522065
"flexible",0.0286603773584906,5.21846951654933,1.98248223539031,2.12087685896426,2.22391037131139,1.98228452786881,2.11026353440899,2.22780869797873,-0.000197707521500501,-0.0106133245552686,0.0038983266673398
"flexible",0.0348805031446541,5.81293976892968,2.02078579257059,2.15585001117466,2.25662112358238,2.02051696934688,2.14470444169932,2.25969234380147,-0.00026882322371069,-0.0111455694753353,0.00307122021908635
"flexible",0.0411006289308176,6.36700790199195,2.05442392735499,2.18530988046833,2.28523021616518,2.05409356909796,2.17464385076988,2.28757364847279,-0.000330358257030205,-0.0106660296984513,0.00234343230760237
"flexible",0.0473207547169811,6.88993774208713,2.08461865384567,2.21205266682303,2.31092562730805,2.0842338031569,2.20174546674667,2.31250817688665,-0.000384850688769145,-0.0103072000763511,0.00158254957859771
"flexible",0.0535408805031447,7.38801395382243,2.11215836604033,2.23651451961617,2.33363090593622,2.11172443486004,2.22648596802401,2.33639513910293,-0.000433931180283675,-0.0100285515921592,0.00276423316671393
"flexible",0.0597610062893082,7.86573228636115,2.13758337815564,2.25909810429483,2.35434938515213,2.13710466517019,2.24930301603186,2.35872303056557,-0.000478712985451768,-0.00979508826296716,0.00437364541343976
"flexible",0.0659811320754717,8.32644070102006,2.15970924131545,2.28080192349348,2.37360517833229,2.15839054086508,2.27010250036636,2.379486363607,-0.00131870045036919,-0.0106994231271167,0.00588118527471204
"flexible",0.0722012578616352,8.77271244854428,2.18042143230243,2.30020530869933,2.39242495171781,2.17776711380939,2.29069276402408,2.39873932835347,-0.00265431849304054,-0.00951254467524976,0.00631437663565793
"flexible",0.0784213836477987,9.20657650106066,2.19998818191804,2.31812398195833,2.41043778405474,2.19606082863199,2.30969659684331,2.4154430944873,-0.00392735328604932,-0.00842738511501384,0.00500531043256647
"flexible",0.0846415094339623,9.62966680479462,2.21857206410715,2.3344330418267,2.42759064664833,2.21342556535175,2.3276393634265,2.43127517349282,-0.00514649875540085,-0.00679367840020006,0.00368452684448695
"flexible",0.0908616352201258,10.0433227790829,2.2363029613865,2.34996814092326,2.44395375180563,2.23087049724788,2.34444388079359,2.44635124586611,-0.0054324641386243,-0.00552426012967011,0.00239749406048473
"flexible",0.0970817610062893,10.4486592120205,2.25328640879286,2.36572167937752,2.45897239442201,2.24833344343649,2.36002791040372,2.46194643339334,-0.00495296535636758,-0.00569376897380236,0.00297403897133153
"flexible",0.103301886792453,10.8466162218279,2.26960941686314,2.38158630448282,2.47296639153678,2.26512138666141,2.37509172581975,2.47769754057067,-0.00448803020172317,-0.00649457866306946,0.00473114903388128
"flexible",0.109522012578616,11.2379958186225,2.28534463964159,2.39642448445511,2.48643590365134,2.28130856222205,2.38974088301763,2.49286821725767,-0.00403607741953849,-0.0066836014374867,0.00643231360633756
"flexible",0.11574213836478,11.6234892118866,2.30055342439715,2.41010564089321,2.49943575300814,2.2969576615091,2.4045521838033,2.5075178473667,-0.00359576288804941,-0.00555345708991339,0.00808209435856
"flexible",0.121962264150943,12.0036975740855,2.3161996491595,2.42331560821384,2.51201264815026,2.31216556122775,2.41807447267619,2.52165290916637,-0.00403408793174487,-0.0052411355376587,0.00964026101610793
"flexible",0.128182389937107,12.379148080214,2.33163458670715,2.43612880456635,2.52420673923582,2.32694523437555,2.43130945502853,2.53485040990606,-0.00468935233160028,-0.00481934953781726,0.0106436706702446
"flexible",0.13440251572327,12.7503064738463,2.34665572328125,2.44953152264274,2.53656819913122,2.34132508296632,2.44422369092037,2.54605657527656,-0.00533064031493113,-0.00530783172237115,0.00948837614533993
"flexible",0.140622641509434,13.1175870370777,2.36129926139832,2.46316890860015,2.54955879000323,2.35534006747376,2.45760417310299,2.55695973700183,-0.00595919392456379,-0.00556473549716285,0.00740094699860316
"flexible",0.146842767295598,13.4813605914103,2.37559704076762,2.4769068504241,2.5622286446873,2.36902093022951,2.47040890641765,2.56758532556653,-0.0065761105381128,-0.00649794400645742,0.00535668087923113
