"replicate","arm","log_rmse"
101,"flexible",0.176475962993192
102,"gaussian",0.477685486752706
102,"flexible",0.0176084797306892
103,"gaussian",0.214286241238626
103,"flexible",0.0883257233776881
104,"gaussian",0.212025847716107
104,"flexible",0.145767310702877
105,"gaussian",0.686413877439863
105,"flexible",0.168779201000175
106,"gaussian",0.295299191339518
106,"flexible",0.0740742771123474
107,"gaussian",0.428590431776732
107,"flexible",0.0715159532509892
108,"gaussian",0.723647398254864
108,"flexible",0.193785472231403
109,"gaussian",0.330819816618791
109,"flexible",0.0863472007193982
110,"gaussian",0.0211922197623937
110,"flexible",0.223243543838013
111,"gaussian",0.13357111094232
111,"flexible",0.169050230504615
112,"gaussian",0.369226011860152
112,"flexible",0.0372313317567894
113,"gaussian",0.51103753413199
113,"flexible",0.0730827988183801
114,"gaussian",0.200431841242535
114,"flexible",0.113119361800813
115,"gaussian",0.400527282825726
115,"flexible",0.0550958590749509
116,"gaussian",0.492196725957227
116,"flexible",0.12701712352294
117,"gaussian",0.188797460677107
117,"flexible",0.121384407526648
118,"gaussian",0.237122185944571
118,"flexible",0.106929795993011
119,"gaussian",0.27058895116304
119,"flexible",0.064298784436744
120,"gaussian",0.482143428623318
120,"flexible",0.0940258454670915
121,"gaussian",0.175197369933463
121,"flexible",0.197490915598392
122,"gaussian",0.274494906243817
122,"flexible",0.0394366198807597
123,"gaussian",0.344600657939236
123,"flexible",0.070811596303517
124,"gaussian",0.235162478277955
124,"flexible",0.0640715204409375
125,"gaussian",0.567716642741067
125,"flexible",0.092832394597399
126,"gaussian",0.255236794559253
126,"flexible",0.0847928076742823
127,"gaussian",0.16397588567586
127,"flexible",0.0565608133724749
128,"gaussian",0.136741234163959
128,"flexible",0.179374514083489
129,"gaussian",0.369695917807898
129,"flexible",0.0278101683672467
130,"gaussian",0.464280184277967
130,"flexible",0.109807688163882
131,"gaussian",0.362843314425186
131,"flexible",0.0353464541827788
132,"gaussian",0.425645471163534
132,"flexible",0.0159930483496448
133,"gaussian",0.259248749867015
133,"flexible",0.351836225805126
134,"gaussian",0.287536947627939
134,"flexible",0.091610212232587
135,"gaussian",0.845724314100509
135,"flexible",0.216745692409744
136,"gaussian",0.304254573941116
136,"flexible",0.069969354628897
137,"gaussian",0.0926583296551022
137,"flexible",0.214592388465887
138,"gaussian",0.507979603370285
138,"flexible",0.0314286544723038
139,"gaussian",0.551514976096387
139,"flexible",0.0821789425874665
140,"gaussian",0.535261597698871
140,"flexible",0.164465176694205
141,"gaussian",0.373155583699911
141,"flexible",0.141874896560602
142,"gaussian",0.157133220484796
142,"flexible",0.148287550216939
143,"gaussian",0.449091718970041
143,"flexible",0.0822495198157534
144,"gaussian",0.419869455544575
144,"flexible",0.0279398464700318
145,"gaussian",0.334617533892632
145,"flexible",0.043141873477054
146,"gaussian",0.407535689926281
146,"flexible",0.0369834126512393
147,"gaussian",0.201756412266783
147,"flexible",0.210942054547106
148,"gaussian",0.0238279100470203
148,"flexible",0.265263523633469
149,"gaussian",0.131151807014407
149,"flexible",0.175622308461792
150,"gaussian",0.330186082950572
150,"flexible",0.0492716190684867
151,"gaussian",0.522392094509099
151,"flexible",0.113680973292233
152,"gaussian",0.435062918965064
152,"flexible",0.139662440528276
153,"gaussian",0.448132851787411
153,"flexible",0.0408904008951805
154,"gaussian",0.083789121043856
154,"flexible",0.24878676674694
155,"gaussian",0.87182288689206
155,"flexible",0.226688064242646
156,"gaussian",0.396626892501281
156,"flexible",0.133769422425189
157,"gaussian",0.533325770254499
157,"flexible",0.0729489704095834
158,"gaussian",0.590072231680713
158,"flexible",0.0816325069627618
159,"gaussian",0.403860318486044
159,"flexible",0.0258440463537662
160,"gaussian",0.50745829933256
160,"flexible",0.101345281057084
161,"gaussian",0.39615675968922
161,"flexible",0.0308144428603327
162,"gaussian",0.506535139523505
162,"flexible",0.125938481123839
163,"gaussian",0.357453477697979
163,"flexible",0.0521278219100841
164,"gaussian",0.369324249828354
164,"flexible",0.0468308049422479
165,"gaussian",0.423053334239326
165,"flexible",0.0671111300931297
166,"gaussian",0.327787229536935
166,"flexible",0.0710764218918725
167,"gaussian",0.474365099600354
167,"flexible",0.0538330723061911
168,"gaussian",0.392454742513296
168,"flexible",0.0503096028766131
169,"gaussian",0.322211493073889
169,"flexible",0.0549317688503064
170,"gaussian",0.203976122905971
170,"flexible",0.0534906021790125
171,"gaussian",0.221522687145155
171,"flexible",0.0479007258294296
172,"gaussian",0.342057060101866
172,"flexible",0.0616496768915253
173,"gaussian",0.170989329227747
173,"flexible",0.232546728707953
174,"gaussian",0.147024736989897
174,"flexible",0.133016934191759
175,"gaussian",0.205904574158842
175,"flexible",0.0892327440446295
176,"gaussian",0.283511128571574
176,"flexible",0.086472228124594
177,"gaussian",0.317800211400072
177,"flexible",0.0616781588958262
178,"gaussian",0.396364450911065
178,"flexible",0.0523913250188393
179,"gaussian",0.178161727055337
179,"flexible",0.146792651129631
180,"gaussian",0.447613292282713
