"arm","n","lower","median","upper","mean"
"flexible",50,0.0206857248612947,0.0856572024330686,0.227496807758729,0.100966648636776
"gaussian",50,0.0986504588878815,0.322476034518354,0.665974440832897,0.350566682113751
